0,0,0,0.22515,-0.97432
6.67,1.595,-6.4779,0.2565,-0.96654
13.26,3.1678,-12.877,0.25137,-0.96789
22.33,5.2552,-21.706,0.2473,-0.96894
30.08,6.9554,-29.254,0.25466,-0.96703
33.88,8.318,-32.757,0.53862,-0.84255
35.67,9.4962,-34.085,0.77776,-0.62856
37.34,10.86,-35.041,0.89319,-0.44967
39.29,12.653,-35.756,0.97479,-0.22311
41.29,14.614,-36.11,0.99688,-0.078918
43.15,16.454,-35.892,0.96989,0.24353
44.57,17.821,-35.504,0.95474,0.29743
47,20.139,-34.813,0.93124,0.36441
47.95,21.002,-34.419,0.88838,0.45912
49.32,22.235,-33.837,0.84937,0.52779
50.18,22.944,-33.36,0.76096,0.6488
52.11,24.221,-31.934,0.481,0.87672
53.34,24.769,-30.841,0.30772,0.95148
55.39,25.279,-28.868,0.08868,0.99606
56.69,25.297,-27.579,-0.10203,0.99478
59.56,24.994,-24.745,-0.18316,0.98308
66.67,23.755,-17.745,-0.22428,0.97452
77.32,21.355,-7.3722,-0.25147,0.96786
85.27,19.47,0.3492,-0.25921,0.96582
88.97,18.498,3.9274,-0.34309,0.9393
91.27,17.559,6.0037,-0.57876,0.8155
93.07,16.424,7.3862,-0.78159,0.6238
95.87,14.07,8.8643,-0.95807,0.28652
99.52,10.482,9.1935,-0.99027,-0.13914
101.78,8.2565,8.8109,-0.96494,-0.26248
104.01,6.1216,8.1585,-0.93848,-0.34533
105.66,4.6292,7.4627,-0.86452,-0.50259
107.74,2.8909,6.3193,-0.73265,-0.68061
108.75,2.182,5.5978,-0.61643,-0.78741
110.26,1.3078,4.3703,-0.48661,-0.87362
113.14,0.39362,1.6768,-0.053179,-0.99859
