0,42.27591,-71.7983758,1,-1.3437
6.67,42.2758522,-71.7983539,1,-1.3114
13.26,42.2757951,-71.7983323,1,-1.3167
22.33,42.2757163,-71.7983035,1,-1.3209
30.08,42.2756489,-71.7982799,1,-1.3133
33.88,42.2756178,-71.798262,1,-1.002
35.67,42.2756062,-71.7982472,1,-0.6797
37.34,42.275598,-71.7982303,1,-0.4664
39.29,42.2755921,-71.7982083,1,-0.225
41.29,42.2755895,-71.7981844,1,-0.079
43.15,42.275592,-71.7981622,1,0.246
44.57,42.2755959,-71.7981458,1,0.302
47,42.2756028,-71.798118,1,0.373
47.95,42.2756066,-71.7981077,1,0.477
49.32,42.2756122,-71.798093,1,0.556
50.18,42.2756167,-71.7980846,1,0.706
52.11,42.2756299,-71.7980697,1,1.069
53.34,42.2756399,-71.7980635,1,1.258
55.39,42.2756578,-71.7980581,1,1.482
56.69,42.2756694,-71.7980584,1,1.673
59.56,42.2756948,-71.7980632,1,1.755
66.67,42.2757574,-71.798081,1,1.797
77.32,42.27585,-71.7981142,1,1.825
85.27,42.2759189,-71.7981401,1,1.833
88.97,42.2759508,-71.7981533,1,1.921
91.27,42.2759692,-71.7981655,1,2.188
93.07,42.2759813,-71.7981798,1,2.468
95.87,42.2759939,-71.7982089,1,2.851
99.52,42.2759958,-71.7982525,1,-3.002
101.78,42.2759917,-71.7982793,1,-2.876
104.01,42.2759852,-71.7983049,1,-2.789
105.66,42.2759785,-71.7983227,1,-2.615
107.74,42.2759677,-71.7983433,1,-2.393
108.75,42.275961,-71.7983516,1,-2.235
110.26,42.2759497,-71.7983617,1,-2.079
113.14,42.2759252,-71.7983717,1,-1.624
